,close,high,low,minute,open
0,38505.57,38505.57,38479.72,01/15/2021 11:28,38479.72
1,38550.04,38570.32,38494.91,01/15/2021 11:29,38505.26
2,38554.39,38564.35,38520.01,01/15/2021 11:30,38543.75
3,38446.11,38558.43,38446.11,01/15/2021 11:31,38558.43
4,38401.32,38450.23,38383.72,01/15/2021 11:32,38450.23
5,38438.62,38459.65,38403.96,01/15/2021 11:33,38409.92
6,38492.06,38492.06,38430.11,01/15/2021 11:34,38430.12
7,38461.77,38500,38436.31,01/15/2021 11:35,38499.97
8,38513.34,38513.34,38456.78,01/15/2021 11:36,38459.3
9,38497.96,38512.86,38450,01/15/2021 11:37,38512.86
10,38459.84,38509.43,38427.63,01/15/2021 11:38,38491.64
11,38498.82,38498.82,38459.83,01/15/2021 11:39,38459.83
12,38467.52,38498.95,38450,01/15/2021 11:40,38498.81
13,38452.69,38474.1,38446.34,01/15/2021 11:41,38469.1
14,38452.73,38454.84,38414.6,01/15/2021 11:42,38454.84
15,38480.96,38480.96,38427.62,01/15/2021 11:43,38452.08
16,38440.98,38526.18,38432.5,01/15/2021 11:44,38483.51
17,38423.01,38462.9,38422.62,01/15/2021 11:45,38440.69
18,38398.71,38420.66,38305,01/15/2021 11:46,38415.62
19,38376.7,38422.15,38332.63,01/15/2021 11:47,38403.56
20,38417.88,38417.88,38356.07,01/15/2021 11:48,38372.85
21,38433.39,38433.39,38393.59,01/15/2021 11:49,38406.52
22,38506,38522.74,38419.52,01/15/2021 11:50,38433.38
23,38511.82,38550,38506.48,01/15/2021 11:51,38508.41
24,38587.89,38601.28,38506,01/15/2021 11:52,38507.07
